,ann_vol_30,vix
2014-06-13,7.436134887561255,12.18
2014-06-16,7.406109706776895,12.65
2014-06-17,7.556321394074887,12.06
2014-06-18,7.54219491741358,10.61
2014-06-19,9.287863361626336,10.62
2014-06-20,9.298082730602477,10.85
2014-06-23,9.537762656269598,10.98
2014-06-24,9.899909170768916,12.13
2014-06-25,9.756088552042623,11.59
2014-06-26,9.725127558868119,11.63
2014-06-27,10.338502275566556,11.26
2014-06-30,10.357451829162958,11.57
2014-07-01,10.363330448632274,11.15
2014-07-02,10.365015739388813,10.82
2014-07-03,10.450755643432991,10.32
2014-07-07,10.311089635977826,11.33
2014-07-08,10.569939383847798,11.98
2014-07-09,10.45970074352557,11.65
2014-07-10,10.402544460548608,12.59
2014-07-11,10.348308801578213,12.08
2014-07-14,10.367165020818327,11.82
2014-07-15,10.365161859902718,11.96
2014-07-16,10.344809157635158,11.0
2014-07-17,10.286064555234624,14.54
2014-07-18,9.65991303952274,12.06
2014-07-21,9.278856248642473,12.81
2014-07-22,9.24846352155915,12.24
2014-07-23,9.157247054940617,11.52
2014-07-24,9.160992390897945,11.84
2014-07-25,9.264456177551837,12.69
2014-07-28,9.19421485978922,12.56
2014-07-29,9.40555926461834,13.28
2014-07-30,9.35093894533911,13.33
2014-07-31,9.351121851123414,16.950001
2014-08-01,7.382424398142318,17.030001000000002
2014-08-04,7.314583135646946,15.12
2014-08-05,7.3357613221410904,16.870001000000002
2014-08-06,6.616284458611121,16.370001000000002
2014-08-07,6.676714753731853,16.66
2014-08-08,6.371361611561365,15.77
2014-08-11,6.288535008619194,14.23
2014-08-12,6.561378173204871,14.13
2014-08-13,6.815654961905396,12.9
2014-08-14,8.232079344471613,12.42
2014-08-15,8.487137733527879,13.15
2014-08-18,8.529709758265964,12.32
2014-08-19,8.229298475765177,12.21
2014-08-20,8.925321902325198,11.78
2014-08-21,8.881457036124479,11.76
2014-08-22,9.447689512849756,11.47
2014-08-25,9.442450122834542,11.7
2014-08-26,10.212640055326142,11.63
2014-08-27,11.469359766178206,11.78
2014-08-28,12.848945618655302,12.05
2014-08-29,13.17998986789701,12.09
2014-09-02,13.771657151628593,12.25
2014-09-03,13.806471558591294,12.36
2014-09-04,13.904222474483493,12.64
2014-09-05,13.921097439445685,12.09
2014-09-08,14.433286531821189,12.66
2014-09-09,14.775117330087163,13.5
2014-09-10,15.862623203912296,12.88
2014-09-11,15.912509752975451,12.8
2014-09-12,16.35740942273606,13.31
2014-09-15,16.430377774160036,14.12
2014-09-16,16.43337347480237,12.73
2014-09-17,16.656671146215643,12.65
2014-09-18,16.653533468524877,12.03
2014-09-19,16.692746768080124,12.11
2014-09-22,17.03553585763435,13.69
2014-09-23,16.86501333983732,14.93
2014-09-24,16.794797569670582,13.27
2014-09-25,16.72805558123856,15.64
2014-09-26,16.005006703079292,14.85
2014-09-29,15.854155836472264,15.98
2014-09-30,15.835334098055343,16.309998999999998
2014-10-01,15.79629314231169,16.709999
2014-10-02,15.224913143257629,16.16
2014-10-03,15.221200978965891,14.55
2014-10-06,14.96153247512551,15.46
2014-10-07,14.940191219215453,17.200001
2014-10-08,14.155626174310706,15.11
2014-10-09,13.437913712361032,18.76
2014-10-10,11.736371976621268,21.24
2014-10-13,11.056219685319867,24.639999
2014-10-14,9.489889307481821,22.790001
2014-10-15,9.562885696026864,25.27
2014-10-16,8.962921166812125,25.200001
2014-10-17,9.081216513840932,21.99
2014-10-20,9.112954689281464,18.57
2014-10-21,8.987041559078666,16.08
2014-10-22,7.541333839886573,17.870001000000002
2014-10-23,7.0768899146939654,16.530001000000002
2014-10-24,6.459737403556666,16.110001
2014-10-27,6.813266216966197,16.040001
2014-10-28,6.774524063187005,14.39
2014-10-29,7.8991765117249,15.15
2014-10-30,7.948566588999646,14.52
2014-10-31,9.181232410906349,14.03
2014-11-03,8.703307376073024,14.73
2014-11-04,8.999219372565777,14.89
2014-11-05,10.76285558955906,14.17
2014-11-06,12.62855093537983,13.67
2014-11-07,12.6471491824623,13.12
2014-11-10,12.678713041649903,12.67
2014-11-11,12.663297322811548,12.92
2014-11-12,12.665614173420822,13.02
2014-11-13,12.680268722464898,13.79
2014-11-14,12.679991672673916,13.31
2014-11-17,12.784173302147181,13.99
2014-11-18,13.163996520024646,13.86
2014-11-19,13.08726701261143,13.96
2014-11-20,14.112537983049044,13.58
2014-11-21,14.295668699491152,12.9
2014-11-24,14.631142779918186,12.62
2014-11-25,15.51456772389866,12.25
2014-11-26,15.693341274904249,12.07
2014-11-28,15.816860235327498,13.33
2014-12-01,15.817214095821322,14.16
2014-12-02,15.78659195721209,12.85
2014-12-03,15.829085564254527,12.5
2014-12-04,16.30970167978426,12.38
2014-12-05,16.32424824311967,11.89
2014-12-08,16.38618332112852,14.21
2014-12-09,16.869469367461203,15.35
2014-12-10,16.943564728458625,18.530001000000002
2014-12-11,16.2544005564177,20.08
2014-12-12,16.68429925010475,21.08
2014-12-15,16.475775183733266,20.42
2014-12-16,16.580669753687285,23.57
2014-12-17,16.83811958760962,19.440001000000002
2014-12-18,16.237761257598375,16.809998999999998
2014-12-19,15.283409943235915,16.49
2014-12-22,15.258238644873124,15.25
2014-12-23,15.517721152539307,14.8
2014-12-24,15.531579104779436,14.37
2014-12-26,15.569361800220976,14.5
2014-12-29,15.858988248665021,15.06
2014-12-30,15.85542893595379,15.92
2014-12-31,16.043314515551195,19.200001
2015-01-02,15.775155400192567,17.790001
2015-01-05,15.774998628031216,19.92
2015-01-06,14.740929634087768,21.120001000000002
2015-01-07,14.450619778319568,19.309998999999998
2015-01-08,14.21455931165373,17.01
2015-01-09,13.374095599201977,17.549999
2015-01-12,13.105041646752206,19.6
2015-01-13,12.833228049417702,20.559998999999998
2015-01-14,12.808429738111407,21.48
2015-01-15,12.697719138080124,22.389999
2015-01-16,12.350806500349213,20.950001
2015-01-20,12.02198863753892,19.889999
2015-01-21,12.135846437294202,18.85
2015-01-22,12.092155491595815,16.4
2015-01-23,12.129257165504788,16.66
2015-01-26,12.058867255139901,15.52
2015-01-27,13.032063555758896,17.219998999999998
2015-01-28,12.446624923698247,20.440001000000002
2015-01-29,12.243616032061155,18.76
2015-01-30,12.145678504883218,20.969998999999998
2015-02-02,12.00081139698029,19.43
2015-02-03,11.580959666264942,17.33
2015-02-04,11.377053297877778,18.33
2015-02-05,11.405224728452747,16.85
2015-02-06,11.322320100322518,17.290001
2015-02-09,11.280665873862757,18.549999
2015-02-10,11.364771510140878,17.23
2015-02-11,11.790957059212042,16.959999
2015-02-12,11.808427082881064,15.34
2015-02-13,11.479578765793304,14.69
2015-02-17,11.968034344467524,15.8
2015-02-18,12.205376475942634,15.45
2015-02-19,12.244692268746684,15.29
2015-02-20,12.30103366983567,14.3
2015-02-23,12.323355244810157,14.56
2015-02-24,12.33153971469543,13.69
2015-02-25,12.329859467173003,13.84
2015-02-26,12.41083318421032,13.91
2015-02-27,12.50543170484153,13.34
2015-03-02,12.544938623302713,13.04
2015-03-03,12.420376250665475,13.86
2015-03-04,12.45129451610673,14.23
2015-03-05,12.386895664613242,14.04
2015-03-06,12.804653498999338,15.2
2015-03-09,12.395394859145451,15.06
2015-03-10,12.36406725402093,16.690001000000002
2015-03-11,11.314201204222675,16.870001000000002
2015-03-12,11.28630459162454,15.42
2015-03-13,10.786643071886564,16.0
2015-03-16,10.69578617350186,15.61
2015-03-17,10.056763083134074,15.66
2015-03-18,10.071061985780819,13.97
2015-03-19,9.92061349674259,14.07
2015-03-20,10.306476870229634,13.02
2015-03-23,10.019473004019169,13.41
2015-03-24,10.579592302599334,13.62
2015-03-25,10.510792237682356,15.44
2015-03-26,9.654600550971841,15.8
2015-03-27,10.291092639420176,15.07
2015-03-30,10.424455812786103,14.51
2015-03-31,9.90643758661519,15.29
2015-04-01,9.54417815176287,15.11
2015-04-02,9.879683180023358,14.67
2015-04-06,9.851239987841147,14.74
2015-04-07,9.730029188752317,14.78
2015-04-08,9.703668468033024,13.98
2015-04-09,9.699995664513603,13.09
2015-04-10,9.64992280251157,12.58
2015-04-13,9.586739534751063,13.94
2015-04-14,9.96894060136987,13.67
2015-04-15,10.283605403520129,12.84
2015-04-16,10.199386578740787,12.6
2015-04-17,10.366934835748545,13.89
2015-04-20,9.816710175044358,13.3
2015-04-21,9.481343887597339,13.25
2015-04-22,9.48490675658401,12.71
2015-04-23,9.70492060941415,12.48
2015-04-24,9.681447533243007,12.29
2015-04-27,9.806472343497424,13.12
2015-04-28,9.75421978727139,12.41
2015-04-29,10.344553510309247,13.39
2015-04-30,10.302357495414642,14.55
2015-05-01,10.076007585406302,12.7
2015-05-04,9.648835361029281,12.85
2015-05-05,9.758750428393057,14.31
2015-05-06,9.153298519006562,15.15
2015-05-07,9.448268504605588,15.13
2015-05-08,9.550775184056734,12.86
2015-05-11,8.921117080818554,13.85
2015-05-12,8.78855608228794,13.86
2015-05-13,9.013750793035415,13.76
2015-05-14,9.057159878714293,12.74
2015-05-15,8.49451271049055,12.38
2015-05-18,10.343321388338952,12.73
2015-05-19,10.33103023444664,12.85
2015-05-20,10.57748098588043,12.88
2015-05-21,10.57831823067933,12.11
2015-05-22,10.572660234916649,12.13
2015-05-26,10.75310132786154,14.06
2015-05-27,11.37802268039753,13.27
2015-05-28,11.031931132199528,13.31
2015-05-29,11.675094855112606,13.84
2015-06-01,12.01285826406735,13.97
2015-06-02,12.068355900016591,14.24
2015-06-03,12.066767853757856,13.66
2015-06-04,12.268708568180315,14.71
2015-06-05,11.991355981877616,14.21
2015-06-08,11.978104186051384,15.29
2015-06-09,11.884436721786432,14.47
2015-06-10,11.915631824883754,13.22
2015-06-11,11.549786206152941,12.85
2015-06-12,11.930315657473683,13.78
2015-06-15,11.87870211798137,15.39
2015-06-16,12.346360501161625,14.81
2015-06-17,12.415703397703524,14.5
2015-06-18,12.404608789707991,13.19
2015-06-19,12.083242271250375,13.96
2015-06-22,12.015377436095946,12.74
2015-06-23,11.884227347841884,12.11
2015-06-24,11.924354100206177,13.26
2015-06-25,11.944732854772461,14.01
2015-06-26,11.942970324667897,14.02
2015-06-29,12.51460603757275,18.85
2015-06-30,11.249845992724834,18.23
2015-07-01,11.231939507930262,16.09
2015-07-02,11.072450199829415,16.790001
2015-07-06,11.124488123883262,17.01
2015-07-07,11.14344855151811,16.09
2015-07-08,11.056408156302789,19.66
2015-07-09,10.186757337912002,19.969998999999998
2015-07-10,11.92033576793621,16.83
2015-07-13,14.491093383675423,13.9
2015-07-14,17.700560883309123,13.37
2015-07-15,17.772005630358915,13.23
2015-07-16,21.476899839402197,12.11
2015-07-17,22.60536265541514,11.95
2015-07-20,22.599670399359624,12.25
2015-07-21,22.64892439054064,12.22
2015-07-22,23.964842025589178,12.12
2015-07-23,24.738023562097418,12.64
2015-07-24,24.745828149554686,13.74
2015-07-27,24.91298882877991,15.6
2015-07-28,26.083326340374196,13.44
2015-07-29,25.979908122712658,12.5
2015-07-30,25.922067170154463,12.13
2015-07-31,25.990385369108495,12.12
2015-08-03,25.9947299150081,12.56
2015-08-04,26.353890561936094,13.0
2015-08-05,26.526939171216014,12.51
2015-08-06,26.49159605205747,13.77
2015-08-07,26.763116626746335,13.39
2015-08-10,26.828037247874164,12.23
2015-08-11,26.637942682674915,13.71
2015-08-12,26.559427518125805,13.61
2015-08-13,26.542055138275245,13.49
2015-08-14,26.546332689513854,12.83
2015-08-17,27.29507802092202,13.02
2015-08-18,27.211909798969153,13.79
2015-08-19,27.961048594832548,15.25
2015-08-20,27.948961514525617,19.139999
2015-08-21,27.7826055505303,28.030001000000002
2015-08-24,26.763491389848383,40.740002000000004
2015-08-25,24.00243281503016,36.02
2015-08-26,23.647376689901346,30.32
2015-08-27,21.237838813494495,26.1
2015-08-28,20.148661476320385,26.049999
2015-08-31,20.149986030137605,28.43
2015-09-01,20.096357432122833,31.4
2015-09-02,18.055192861669497,26.09
2015-09-03,17.815541868078917,25.610001
2015-09-04,17.84029106753666,27.799999
2015-09-08,17.14411848004508,24.9
2015-09-09,15.778447744827407,26.23
2015-09-10,15.290110517434597,24.370001000000002
2015-09-11,15.859034250007406,23.200001
2015-09-14,16.062243723303016,24.25
2015-09-15,16.005883104263454,22.540001
2015-09-16,15.730919481651522,21.35
2015-09-17,15.874727967795065,21.139999
2015-09-18,15.840079442347577,22.280001000000002
2015-09-21,15.068461996016543,20.139999
2015-09-22,15.311164722614883,22.440001000000002
2015-09-23,14.690329935524138,22.129998999999998
2015-09-24,14.737678246786071,23.469998999999998
2015-09-25,14.673979288524366,23.620001000000002
2015-09-28,14.671825534695937,27.629998999999998
2015-09-29,12.58577530221226,26.83
2015-09-30,12.582165551410254,24.5
2015-10-01,11.840045902481238,22.549999
2015-10-02,12.759053574965465,20.940001000000002
2015-10-05,12.78514725056371,19.540001
2015-10-06,12.445510804798554,19.4
2015-10-07,12.3906656344843,18.4
2015-10-08,12.96097225690117,17.42
2015-10-09,12.795682682590797,17.08
2015-10-12,12.818062307664807,16.17
2015-10-13,12.83689187033531,17.67
2015-10-14,12.620062595128317,18.030001000000002
2015-10-15,12.500220359822652,16.049999
2015-10-16,11.880184891836128,15.05
2015-10-19,11.942934992784672,14.98
2015-10-20,12.266821853954303,15.75
2015-10-21,12.73238172700381,16.700001
2015-10-22,13.333851551932641,14.45
2015-10-23,13.757201304151684,14.46
2015-10-26,13.575097892380047,15.29
2015-10-27,13.693100385392729,15.43
2015-10-28,13.85057757317627,14.33
2015-10-29,13.412616947108289,14.61
2015-10-30,14.46350430573006,15.07
2015-11-02,14.521954729492439,14.15
2015-11-03,14.434539330732784,14.54
2015-11-04,15.056820278159902,15.51
2015-11-05,15.601999386240234,15.05
2015-11-06,16.335916442328664,14.33
2015-11-09,16.54679511256897,16.52
2015-11-10,16.58514577235688,15.29
2015-11-11,16.985541360764557,16.059998999999998
2015-11-12,16.968055269877446,18.370001000000002
2015-11-13,16.48316785180813,20.08
2015-11-16,16.384496173605676,18.16
2015-11-17,16.013918395945353,18.84
2015-11-18,16.243349474472925,16.85
2015-11-19,16.09043472174239,16.99
2015-11-20,16.11569845019099,15.47
2015-11-23,16.41136241743198,15.62
2015-11-24,17.604061412405304,15.93
2015-11-25,17.734330494701446,15.19
2015-11-27,17.74885967719199,15.12
2015-11-30,17.978736582368576,16.129998999999998
2015-12-01,19.110969511330865,14.67
2015-12-02,19.541361588841514,15.91
2015-12-03,20.146830692558524,18.110001
2015-12-04,19.903354099589375,14.81
2015-12-07,18.836553602382228,15.84
2015-12-08,18.988544222866214,17.6
2015-12-09,20.115040923707618,19.610001
2015-12-10,20.413211443026327,19.34
2015-12-11,20.93322357092896,24.389999
2015-12-14,20.478120867725483,22.73
2015-12-15,20.50123568614163,20.950001
2015-12-16,21.581294724294985,17.860001
2015-12-17,21.057006718571273,18.940001000000002
2015-12-18,21.277503676705415,20.700001
2015-12-21,20.863860900841054,18.700001
2015-12-22,20.704824965824923,16.6
2015-12-23,21.002111742230817,15.57
2015-12-24,20.76768802580214,15.74
2015-12-28,20.77693890946172,16.91
2015-12-29,20.79579194383,16.08
2015-12-30,20.518191656403935,17.290001
2015-12-31,21.56411774685612,18.209999
2016-01-04,22.199429911716123,20.700001
2016-01-05,22.491340001076146,19.34
2016-01-06,22.485567159408713,20.59
2016-01-07,22.23023019257206,24.99
2016-01-08,21.61029179699119,27.01
2016-01-11,21.68470677286327,24.299999
2016-01-12,21.720634178365458,22.469998999999998
2016-01-13,21.847440190614336,25.219998999999998
2016-01-14,20.53047304627882,23.950001
2016-01-15,20.16212268425909,27.02
2016-01-19,20.150673212767543,26.049999
2016-01-20,20.15890529145303,27.59
2016-01-21,19.760748318587552,26.690001000000002
2016-01-22,19.745132214707684,22.34
2016-01-25,19.034569404336025,24.15
2016-01-26,18.73266260859999,22.5
2016-01-27,18.40982471247124,23.110001
2016-01-28,18.050712126893632,22.42
2016-01-29,18.4892228188871,20.200001
2016-02-01,17.302120035080463,19.98
2016-02-02,17.318740113112906,21.98
2016-02-03,16.293935349448045,21.65
2016-02-04,16.323841832907895,21.84
2016-02-05,16.33495290975945,23.379998999999998
2016-02-08,15.137973757913059,26.0
2016-02-09,14.321703545661643,26.540001
2016-02-10,14.548806535036313,26.290001
2016-02-11,14.552568983029474,28.139999
2016-02-12,13.842249470597237,25.4
2016-02-16,13.14327490030713,24.110001
2016-02-17,12.567020247224695,22.309998999999998
2016-02-18,11.985478750036945,21.639999
2016-02-19,11.862438024634454,20.530001000000002
2016-02-22,11.955882510591776,19.379998999999998
2016-02-23,11.95542212256849,20.98
2016-02-24,11.44579753757062,20.719998999999998
2016-02-25,12.145870337249175,19.110001
2016-02-26,11.83056721506229,19.809998999999998
2016-02-29,11.854630514867685,20.549999
2016-03-01,11.71082080159162,17.700001
2016-03-02,10.159226361970736,17.09
2016-03-03,10.143499015573717,16.700001
2016-03-04,10.15276168574021,16.860001
2016-03-07,10.243636292190603,17.35
2016-03-08,10.250996923029941,18.67
2016-03-09,9.525133301876858,18.34
2016-03-10,9.69753756081222,18.049999
2016-03-11,9.699003254433478,16.5
2016-03-14,8.733728990141163,16.92
2016-03-15,8.709235137868356,16.84
2016-03-16,8.664663202016179,14.99
2016-03-17,9.070260564251772,14.44
2016-03-18,9.0536908142204,14.02
2016-03-21,9.228754174403981,13.79
2016-03-22,9.593844821103913,14.17
2016-03-23,9.749154028206869,14.94
2016-03-24,9.564228177659578,14.74
2016-03-28,9.598738621683843,15.24
2016-03-29,9.599285673742298,13.82
2016-03-30,9.917224449625245,13.56
2016-03-31,10.2511552590346,13.95
2016-04-01,10.233571238527519,13.1
2016-04-04,10.345555502694372,14.12
2016-04-05,10.705074318341097,15.42
2016-04-06,10.647705119393382,14.09
2016-04-07,10.196190130309136,16.16
2016-04-08,9.6521894746633,15.36
2016-04-11,9.77380494600748,16.26
2016-04-12,9.759682984512128,14.85
2016-04-13,10.143233400240897,13.84
2016-04-14,9.932369843347475,13.72
2016-04-15,9.93283070347766,13.62
2016-04-18,9.996791402034304,13.35
2016-04-19,9.831607268342125,13.24
2016-04-20,9.79662963528357,13.28
2016-04-21,9.82801143786254,13.95
2016-04-22,9.746482072342591,13.22
2016-04-25,9.840429836648026,14.08
2016-04-26,9.824602738989066,13.96
2016-04-27,9.851241840571632,13.77
2016-04-28,9.863109273418853,15.22
2016-04-29,9.858533601487828,15.7
2016-05-02,10.03714304442497,14.68
2016-05-03,9.79958546771548,15.6
2016-05-04,9.482541823072014,16.049999
2016-05-05,9.345113451634727,15.91
2016-05-06,9.402961282686476,14.72
2016-05-09,9.49858990297215,14.57
2016-05-10,9.520658956890525,13.63
2016-05-11,8.862098804158954,14.69
2016-05-12,9.16820210467144,14.41
2016-05-13,14.054031526555995,15.04
2016-05-16,14.78053767679805,14.68
2016-05-17,15.406880538708979,15.57
2016-05-18,15.939794945253844,15.95
2016-05-19,16.370094986062046,16.33
2016-05-20,16.317687140130612,15.2
2016-05-23,16.39916617260171,15.82
2016-05-24,16.434066993350456,14.42
2016-05-25,16.002021582692986,13.9
2016-05-26,16.44958827913262,13.43
2016-05-27,16.466447619238327,13.12
2016-05-31,16.533206836915188,14.19
2016-06-01,16.52579369566895,14.2
2016-06-02,16.572768740708828,13.63
2016-06-03,16.572755572651218,13.47
2016-06-06,16.53946694314741,13.65
2016-06-07,16.51469856226911,14.05
2016-06-08,16.543055342969772,14.08
